lat,lon,basin_AIP,basin
-77.5,165.5,Pacific,Indo-Pacific
-77.5,181.5,Pacific,Indo-Pacific
-77.5,182.5,Pacific,Indo-Pacific
-77.5,183.5,Pacific,Indo-Pacific
-77.5,184.5,Pacific,Indo-Pacific
-77.5,185.5,Pacific,Indo-Pacific
-77.5,186.5,Pacific,Indo-Pacific
-77.5,187.5,Pacific,Indo-Pacific
-77.5,188.5,Pacific,Indo-Pacific
-77.5,189.5,Pacific,Indo-Pacific
-77.5,190.5,Pacific,Indo-Pacific
-77.5,191.5,Pacific,Indo-Pacific
-77.5,192.5,Pacific,Indo-Pacific
-77.5,193.5,Pacific,Indo-Pacific
-77.5,194.5,Pacific,Indo-Pacific
-77.5,195.5,Pacific,Indo-Pacific
-77.5,196.5,Pacific,Indo-Pacific
-77.5,197.5,Pacific,Indo-Pacific
-77.5,198.5,Pacific,Indo-Pacific
-77.5,199.5,Pacific,Indo-Pacific
-77.5,200.5,Pacific,Indo-Pacific
-77.5,315.5,Atlantic,Atlantic
-77.5,316.5,Atlantic,Atlantic
-77.5,317.5,Atlantic,Atlantic
-77.5,318.5,Atlantic,Atlantic
-77.5,319.5,Atlantic,Atlantic
-77.5,320.5,Atlantic,Atlantic
-77.5,321.5,Atlantic,Atlantic
-77.5,322.5,Atlantic,Atlantic
-77.5,323.5,Atlantic,Atlantic
-77.5,324.5,Atlantic,Atlantic
-76.5,164.5,Pacific,Indo-Pacific
-76.5,165.5,Pacific,Indo-Pacific
-76.5,166.5,Pacific,Indo-Pacific
-76.5,167.5,Pacific,Indo-Pacific
-76.5,168.5,Pacific,Indo-Pacific
-76.5,169.5,Pacific,Indo-Pacific
-76.5,170.5,Pacific,Indo-Pacific
-76.5,171.5,Pacific,Indo-Pacific
-76.5,172.5,Pacific,Indo-Pacific
-76.5,173.5,Pacific,Indo-Pacific
-76.5,174.5,Pacific,Indo-Pacific
-76.5,175.5,Pacific,Indo-Pacific
-76.5,176.5,Pacific,Indo-Pacific
-76.5,177.5,Pacific,Indo-Pacific
-76.5,178.5,Pacific,Indo-Pacific
-76.5,179.5,Pacific,Indo-Pacific
-76.5,180.5,Pacific,Indo-Pacific
-76.5,181.5,Pacific,Indo-Pacific
-76.5,182.5,Pacific,Indo-Pacific
-76.5,183.5,Pacific,Indo-Pacific
-76.5,184.5,Pacific,Indo-Pacific
-76.5,185.5,Pacific,Indo-Pacific
-76.5,186.5,Pacific,Indo-Pacific
-76.5,187.5,Pacific,Indo-Pacific
-76.5,188.5,Pacific,Indo-Pacific
